system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
314_7,0.053704698,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,12,19_5,0.3177,-0.09632562,36.905,4977.659311253061,98.47858,1415.0246028974652,1811.617628692473,4850.0,0.35034803,50.203200200000026,19,5,0,0,0,0,0,0,0,0,0,0,ZONE IV,0.3009708737864077,412.0,0.3008843698208072,122.07746459608768,6.908582703320029,POINT (122.07746459608768 6.908582703320029)
314_8,0.06153322,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,5,19_5,0.2681,-0.0577132,28.98,4812.426827810619,154.28693,1415.0246028974652,1890.991803863665,3443.0,1.1517575,50.58601844000003,19,5,0,0,0,0,0,0,0,0,0,0,ZONE I,0.1770491803278688,305.0,0.18089905370956197,122.07072723145683,6.906336915109733,POINT (122.07072723145683 6.906336915109733)
314_9,0.022591429,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,7,19_5,0.2681,-0.07240372,41.56,4925.789665643905,154.15828,1415.0246028974652,1954.5282225632204,4824.0,0.58119047,51.13631966000003,19,5,0,0,0,0,0,0,0,0,0,0,ZONE I,0.1770491803278688,305.0,0.18089905370956197,122.07297301966707,6.906336915109733,POINT (122.07297301966707 6.906336915109733)
314_10,0.0036353061,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,19_5,0.2681,0.028366297,41.56,4959.308694022367,59.966503,1415.0246028974652,1793.4966253705218,3426.0,0.49366462,51.05770519999999,19,5,0,0,0,0,0,0,0,0,0,0,ZONE II,0.2955326460481099,291.0,0.15205611292368806,122.07521880787738,6.906336915109733,POINT (122.07521880787738 6.906336915109733)
314_11,0.019305019,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,10,19_5,0.25015,0.029068533,36.905,4968.076008769976,63.856606,1415.0246028974652,1791.7136586862655,3302.0,0.46373534,51.97031654,19,5,0,0,0,0,0,0,0,0,0,0,ZONE III,0.1587301587301587,126.0,0.5533505445085524,122.07746459608768,6.906336915109733,POINT (122.07746459608768 6.906336915109733)
314_12,0.0453032,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,5,19_5,0.2681,0.03905018,35.155,4962.195956630306,110.13573,1415.0246028974652,1804.071185594997,2365.5,0.9872536,50.09382356000003,19,5,0,0,0,0,0,0,0,0,0,0,ZONE III,0.1587301587301587,126.0,0.5533505445085524,122.07297301966707,6.904091126899431,POINT (122.07297301966707 6.904091126899431)
314_13,0.017724011,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,7,19_5,0.2681,0.0026192446,35.155,4982.363215474655,61.68933,1415.0246028974652,1854.64947487158,3491.5,0.42012277,50.13142177999998,19,5,0,0,0,0,0,0,0,0,0,0,ZONE III,0.1587301587301587,126.0,0.5533505445085524,122.07521880787738,6.904091126899431,POINT (122.07521880787738 6.904091126899431)
314_14,0.03987025,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,19_5,0.25015,-0.0035870345,38.925003,4958.448781976174,75.08197,1415.0246028974652,1975.157877260255,3552.0,0.62494254,50.04255325999998,19,5,0,0,0,0,0,0,0,0,0,0,ZONE III,0.1587301587301587,126.0,0.5533505445085524,122.07746459608768,6.904091126899431,POINT (122.07746459608768 6.904091126899431)
315_0,0.044608623,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,20_5,0.3695,-0.10419138,34.5,4878.412099518908,80.41296,1415.0246028974652,1567.2925269012433,5108.0,0.521506,48.50102623999999,20,5,0,0,0,0,0,0,0,0,0,0,ZONE IV,0.3009708737864077,412.0,0.3008843698208072,122.07971038429798,6.910828491530324,POINT (122.07971038429798 6.910828491530324)
315_1,0.25539365,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,6,20_5,0.3695,0.02354595,24.779999,4878.354763951755,63.195904,1415.0246028974652,1480.3386906847195,1648.0,0.3690331,47.32522735999999,20,5,0,0,0,0,0,0,0,0,0,0,SANTA CATALINA,0.218348623853211,2725.0,0.6873353749230108,122.08195617250828,6.910828491530324,POINT (122.08195617250828 6.910828491530324)
315_2,0.5427632,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,5,20_5,0.3695,-0.13382836,24.779999,4831.926463586369,188.11748,1415.0246028974652,1695.0143451969896,973.0,0.16455927,46.01954372,20,5,0,0,0,0,0,0,0,0,0,0,SANTA CATALINA,0.218348623853211,2725.0,0.6873353749230108,122.08420196071859,6.910828491530324,POINT (122.08420196071859 6.910828491530324)
