system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,cell_id,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
36_1,-0.062586926,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0036,6,grid_36,0.32535,0.016058395,5.83,4377.312511206772,119.31949,1744.5184629708529,1924.805091168775,382.0,0.2607545,-56.11089387999999,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0909393253495,6.901845338689135,POINT (122.0909393253495 6.901845338689135)
36_2,-0.015658062,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0036,3,grid_36,0.3929,0.07917656,5.83,4307.812295507227,159.95454,1744.5184629708529,1806.058957502305,2400.0,0.71018517,-55.70756752,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0931851135598,6.901845338689135,POINT (122.0931851135598 6.901845338689135)
36_3,0.110379554,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0036,0,grid_36,0.3929,0.098711096,2.45,4222.999149569927,149.60614,1744.5184629708529,1561.4111450236994,2297.0,0.11678233,-56.11089387999999,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0954309017701,6.901845338689135,POINT (122.0954309017701 6.901845338689135)
37_0,0.06079279,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0037,1,grid_37,0.3929,-0.075230725,2.45,4128.166967763563,21.380386,1744.5184629708529,1314.5108012934186,2553.0,0.0,-57.81306783999997,0,0,0,0,0,0,0,0,0,0,KASANYANGAN,0.4436644436644437,5698.0,1.3350999722005799,122.0976766899804,6.901845338689135,POINT (122.0976766899804 6.901845338689135)
37_1,0.5957867,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0037,0,grid_37,0.3929,-0.45980126,2.45,4242.207647048045,10.852318,1744.5184629708529,1214.7786444968733,307.0,0.11678233,-61.152473379999975,0,0,0,0,0,0,0,0,0,0,MARIKI,0.3720754716981132,1325.0,1.2566857089542494,122.0999224781907,6.901845338689135,POINT (122.0999224781907 6.901845338689135)
37_2,0.6120283,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0037,2,grid_37,0.45855,-0.5042641,1.09,4285.022857184278,3.8585744,1964.9940781891344,1247.007083518814,329.0,0.3503431,-65.85908691999998,0,0,0,0,0,0,0,0,0,0,MARIKI,0.3720754716981132,1325.0,1.2566857089542494,122.10216826640101,6.901845338689135,POINT (122.10216826640101 6.901845338689135)
37_3,0.8049913,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0037,3,grid_37,0.45855,-0.5200391,1.09,4244.406174078559,0.108686,1964.9940781891344,1199.8683542625536,252.0,0.16455771,-70.64773293999997,0,0,0,0,0,0,0,0,0,0,MARIKI,0.3720754716981132,1325.0,1.2566857089542494,122.10441405461131,6.901845338689135,POINT (122.10441405461131 6.901845338689135)
38_0,-0.028571429,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0038,3,grid_38,0.45855,-0.18281037,1.31,4230.9402527476905,0.015707,1964.9940781891344,1266.1262351790324,459.0,0.4782127,-67.29123729999998,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.10890563103186,6.901845338689135,POINT (122.10890563103186 6.901845338689135)
38_1,0.5671264,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0038,2,grid_38,0.486,-0.48400852,0.95,4326.429403256311,2.0624578,1964.9940781891344,1461.869369514808,384.5,0.0,-66.35811783999998,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.11115141924216,6.901845338689135,POINT (122.11115141924216 6.901845338689135)
38_2,0.33003533,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0038,3,grid_38,0.486,-0.16876261,0.95,4337.634096039596,1.1294775,1964.9940781891344,1595.7898193431358,948.0,0.4782127,-65.97529959999997,0,0,0,0,0,0,0,0,0,0,TALON TALON,0.2741459299873471,4742.0,8.164108918607464,122.11339720745246,6.901845338689135,POINT (122.11339720745246 6.901845338689135)
