system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,cell_id,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
3_12,0.57588464,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,21.0,0_24,0.75615,-0.15304948,0.57,4528.05434433267,50.230682,2906.221962362528,1076.9667056470903,809.0,1.635125,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90229311568442,7.077016819092442,POINT (121.90229311568442 7.077016819092442)
3_13,0.83158946,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0024,27.0,0_24,0.7623000000000001,-0.28666434,0.57,4531.667507571435,3.681161,2906.221962362528,1160.8358671169522,338.0,1.5228027,-123.14852014,0,24,0,0,0,0,0,0,0,0,0,0,PATALON,0.3963328631875881,2127.0,16.02042532226294,121.90453890389472,7.077016819092442,POINT (121.90453890389472 7.077016819092442)
4_0,0.42777157,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,17.0,0_25,0.7956000000000001,-0.039543416,0.87,4542.51166674876,250.95259,2906.221962362528,1394.300235429429,1022.0,2.571153,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.092737336564532,POINT (121.90229311568442 7.092737336564532)
4_1,0.6353004,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,26.0,0_25,0.7956000000000001,-0.16891506,0.87,4535.865753409526,88.863266,2906.221962362528,1408.1223322920291,686.0,3.0698428,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.092737336564532,POINT (121.90453890389472 7.092737336564532)
4_2,0.3841824,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,18.0,0_25,0.7606,-0.0053147995,0.87,4774.720815927415,227.45538,2906.221962362528,1628.1505252627874,1094.0,2.6950803,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.09049154835423,POINT (121.90229311568442 7.09049154835423)
4_3,0.6022253,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,29.0,0_25,0.7606,-0.15872058,0.87,4761.513597773245,55.539368,2906.221962362528,1653.705561363544,715.0,4.2126203,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.09049154835423,POINT (121.90453890389472 7.09049154835423)
4_4,-0.06596306,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,10.0,0_25,0.7606,-0.04117647,0.46,4637.07471313419,30.156862,2906.221962362528,1585.5468415499356,404.0,2.451267,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,,,,,121.90004732747411,7.088245760143934,POINT (121.90004732747411 7.088245760143934)
4_5,0.5929806,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,19.0,0_25,0.7606,-0.14066017,0.83,4876.921286677864,104.756294,2906.221962362528,1819.405450635482,777.0,2.2216659,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.088245760143934,POINT (121.90229311568442 7.088245760143934)
4_6,0.7193073,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,29.0,0_25,0.7606,-0.2114369,0.83,4854.145783704661,34.123875,2906.221962362528,1899.288758307605,543.0,4.1614456,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.088245760143934,POINT (121.90453890389472 7.088245760143934)
4_7,0.3428165,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,15.0,0_25,0.7606,0.027305512,0.46,4531.966391865122,43.34673,2906.221962362528,1597.546930704051,924.0,2.0680554,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90004732747411,7.0859999719336315,POINT (121.90004732747411 7.0859999719336315)
