Barangay,Total Number of Poor Employed,Managers,%,Gov't and Special Interest Organization Officials,%.1,Professionals,%.2,Technicians,%.3,Clerks,%.4,Service and Sales Workers,%.5,"Farm Workers, Foresters and Fisher Folks",%.6,Crafts and Related Workers,%.7,Plants and Machine Operators and Assemblers,%.8,Laborers and Unskilled Workers,%.9
TALISAYAN,288,3,0.010416666666666666,0,0.0,0,0.0,0,0.0,2,0.006944444444444444,31,0.1076388888888889,50,0.1736111111111111,23,0.0798611111111111,27,0.09375,152,0.5277777777777778
TALON-TALON,1556,2,0.0012853470437017994,2,0.0012853470437017994,3,0.0019280205655526992,12,0.007712082262210797,5,0.003213367609254499,224,0.14395886889460155,327,0.2101542416452442,169,0.10861182519280206,210,0.13496143958868895,602,0.38688946015424164
TALUKSANGAY,986,0,0.0,3,0.0030425963488843813,1,0.0010141987829614604,7,0.007099391480730223,1,0.0010141987829614604,103,0.10446247464503043,493,0.5,54,0.05476673427991886,22,0.02231237322515213,302,0.30628803245436104
TETUAN,403,0,0.0,0,0.0,1,0.0024813895781637717,4,0.009925558312655087,6,0.01488833746898263,84,0.20843672456575682,8,0.019851116625310174,72,0.17866004962779156,62,0.15384615384615385,166,0.4119106699751861
TICTAPUL,370,1,0.002702702702702703,4,0.010810810810810811,0,0.0,6,0.016216216216216217,2,0.005405405405405406,23,0.062162162162162166,129,0.34864864864864864,14,0.03783783783783784,18,0.04864864864864865,173,0.46756756756756757
TIGBALABAG,96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.03125,33,0.34375,7,0.07291666666666667,5,0.052083333333333336,48,0.5
TIGTABON,896,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0011160714285714285,13,0.014508928571428572,725,0.8091517857142857,4,0.004464285714285714,16,0.017857142857142856,137,0.15290178571428573
TOLOSA,428,0,0.0,0,0.0,0,0.0,2,0.004672897196261682,3,0.007009345794392523,14,0.03271028037383177,312,0.7289719626168224,8,0.018691588785046728,18,0.04205607476635514,71,0.1658878504672897
TUGBUNGAN,1242,4,0.00322061191626409,2,0.001610305958132045,2,0.001610305958132045,19,0.015297906602254429,4,0.00322061191626409,146,0.11755233494363929,103,0.08293075684380032,247,0.19887278582930756,162,0.13043478260869565,553,0.44524959742351045
TULUNGATUNG,585,2,0.003418803418803419,10,0.017094017094017096,1,0.0017094017094017094,3,0.005128205128205128,4,0.006837606837606838,62,0.10598290598290598,76,0.12991452991452992,105,0.1794871794871795,89,0.15213675213675212,233,0.39829059829059826
TUMAGA,803,1,0.0012453300124533001,1,0.0012453300124533001,2,0.0024906600249066002,6,0.007471980074719801,6,0.007471980074719801,144,0.1793275217932752,9,0.0112079701120797,117,0.14570361145703611,94,0.11706102117061021,423,0.526774595267746
TUMALUTAB,382,5,0.013089005235602094,3,0.007853403141361256,0,0.0,0,0.0,0,0.0,25,0.06544502617801047,291,0.7617801047120419,12,0.031413612565445025,0,0.0,46,0.12041884816753927
TUMITUS,359,3,0.008356545961002786,0,0.0,0,0.0,1,0.002785515320334262,0,0.0,4,0.011142061281337047,244,0.6796657381615598,9,0.025069637883008356,11,0.03064066852367688,87,0.24233983286908078
VICTORIA,171,1,0.005847953216374269,0,0.0,0,0.0,1,0.005847953216374269,0,0.0,23,0.13450292397660818,54,0.3157894736842105,27,0.15789473684210525,22,0.1286549707602339,43,0.25146198830409355
VITALI,969,2,0.0020639834881320948,1,0.0010319917440660474,0,0.0,4,0.0041279669762641896,1,0.0010319917440660474,44,0.04540763673890609,173,0.1785345717234262,50,0.05159958720330237,59,0.0608875128998968,635,0.6553147574819401
ZAMBOWOOD,502,1,0.00199203187250996,0,0.0,1,0.00199203187250996,3,0.00597609561752988,5,0.0099601593625498,76,0.15139442231075698,28,0.055776892430278883,72,0.14342629482071714,55,0.10956175298804781,261,0.5199203187250996
TOTAL,55435,128,0.0023090105528997926,150,0.0027058717416794443,106,0.0019121493641201406,405,0.0073058537025344995,205,0.003698024713628574,7026,0.12674303238026519,16544,0.2984396139622982,5045,0.09100748624515198,4656,0.08399025886172995,21170,0.38188869847569223
