iter	Passed	Remaining
690	113050	50553
691	113203	50385
692	113360	50218
693	113514	50051
694	113662	49880
695	113800	49706
696	113942	49533
697	114084	49360
698	114228	49188
699	114398	49027
700	114557	48862
701	114699	48690
702	114857	48524
703	115005	48354
704	115158	48186
705	115316	48021
706	115473	47855
707	115611	47681
708	115742	47505
709	115906	47342
710	116049	47170
711	116187	46997
712	116347	46832
713	116496	46663
714	116630	46489
715	116776	46319
716	116925	46150
717	117122	46000
718	117311	45847
719	117500	45694
720	117708	45548
721	117932	45409
722	118119	45254
723	118313	45103
724	118533	44960
725	118699	44798
726	118892	44646
727	119032	44473
728	119190	44308
729	119323	44133
730	119486	43969
731	119624	43796
732	119755	43621
733	119914	43456
734	120048	43282
735	120182	43108
736	120335	42941
737	120499	42778
738	120651	42611
739	120808	42446
740	120967	42281
741	121104	42109
742	121243	41937
743	121396	41770
744	121545	41602
745	121682	41430
746	121819	41258
747	121978	41094
748	122115	40922
749	122274	40758
750	122437	40595
751	122571	40422
752	122719	40254
753	122855	40082
754	123016	39919
755	123150	39747
756	123299	39579
757	123466	39418
758	123612	39249
759	123814	39099
760	124017	38949
761	124215	38796
762	124348	38624
763	124510	38461
764	124649	38291
765	124789	38120
766	124939	37954
767	125074	37782
768	125216	37613
769	125358	37444
770	125515	37280
771	125642	37106
772	125811	36945
773	125972	36782
774	126138	36620
775	126286	36453
776	126428	36285
777	126583	36120
778	126735	35954
779	126882	35787
780	127042	35623
781	127178	35453
782	127310	35282
783	127454	35115
784	127601	34948
785	127741	34779
786	127885	34612
787	128036	34446
788	128180	34278
789	128387	34128
790	128619	33984
791	128877	33846
792	129082	33694
793	129230	33528
794	129409	33369
795	129581	33209
796	129723	33041
797	129884	32878
798	130040	32713
799	130188	32547
800	130338	32381
801	130471	32211
802	130628	32047
803	130829	31893
804	130997	31732
805	131145	31566
806	131289	31398
807	131449	31235
808	131604	31071
809	131764	30907
810	131899	30738
811	132064	30576
812	132216	30411
813	132404	30254
814	132555	30089
815	132716	29926
816	132861	29759
817	133061	29605
818	133207	29438
819	133365	29275
820	133507	29108
821	133657	28942
822	133798	28775
823	133947	28610
824	134120	28449
825	134258	28282
826	134394	28113
827	134554	27950
