system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt,grid_cell_id,has_target_data,exclusion_reason
1306_0,0.43945423,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,700,8_22,0.8145,-0.1900094,0.265,1277.919342508182,3.295165,2620.4722895771265,0.0,1725.5,27.164536,25.073917160000008,8,22,0,0,0,0,0,0,0,0,0,0,WATERSHED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,79.62279406032255,121.97864991483452,7.056804725199747,POINT (121.97864991483453 7.056804725199747),8_22,False,no_poverty_rate
1318_2,0.13892473,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,553,20_22,0.8138000000000001,-0.15442744,0.215,2115.8551090266906,0.985929,2167.458835273981,0.0,4504.5,6.1772447,25.374702920000004,20,22,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.08644774892888,7.056804725199747,POINT (122.08644774892889 7.056804725199747),20_22,False,no_poverty_rate
1475_2,-0.080516286,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,10,0_25,0.7089000000000001,-0.04761905,0.38,4637.07471313419,30.156862,2416.731344498694,1585.5468415499356,439.5,2.451267,23.98356878000004,0,25,0,0,0,0,0,0,0,0,0,0,,,,,121.90004732747413,7.088245760143934,POINT (121.90004732747411 7.088245760143934),0_25,False,no_barangay_or_poverty
1489_0,0.32707992,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1034,14_25,0.7995,-0.32276422,0.205,0.0,4.1103954,2225.979917630553,973.7336607130665,2062.5,15.547269,18.87362888000001,14,25,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.02581146725085,7.09049154835423,POINT (122.02581146725083 7.09049154835423),14_25,False,no_poverty_rate
1489_1,0.1836793,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1074,14_25,0.7995,-0.24030197,0.155,0.0,0.484583,2225.979917630553,726.6177604972431,2861.0,6.82672,21.99428114,14,25,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.02805725546114,7.09049154835423,POINT (122.02805725546114 7.09049154835423),14_25,False,no_poverty_rate
1511_12,0.24648082,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,2,36_25,0.7187,0.043423004,1.305,4277.909575060323,4.4521146,1927.473622903228,1450.9749391192809,1365.0,1.0384537,35.611672820000024,36,25,0,0,0,0,0,0,0,0,0,0,,,,,122.22793240617771,7.085999971933632,POINT (122.22793240617773 7.0859999719336315),36_25,False,no_barangay_or_poverty
1549_1,0.31367257,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,807,15_26,0.8125,-0.27996922,0.120000005,0.0,0.013714,2225.979917630553,0.0,2606.5,7.40144,17.687575939999988,15,26,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.03928619651263,7.099474701195426,POINT (122.03928619651265 7.099474701195426),15_26,False,no_poverty_rate
1774_1,0.39916036,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,233,4_30,0.8649,-0.15510231,0.215,1443.9516099752254,1.552161,2403.778122089803,0.0,1860.5,7.8805995,29.3703683,4,30,0,0,0,0,0,0,0,0,0,0,WATERSHED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,79.62279406032255,121.9382257270492,7.135407312560211,POINT (121.9382257270492 7.135407312560211),4_30,False,no_poverty_rate
1852_2,0.36205494,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,570,23_31,0.8234,-0.2056411,0.21000001,154.67889885830482,2.377813,1988.8752299249168,0.0,1962.0,3.8343084,19.41367604000004,23,31,0,0,0,0,0,0,0,0,0,0,PASONANCA NATURAL PARK UNDER JURISDICTION OF ZAMBOANGA CITY,,,141.3155496426694,122.11339720745246,7.137653100770507,POINT (122.11339720745246 7.137653100770507),23_31,False,no_poverty_rate
1889_0,0.20460585,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,12,1_32,0.7358,0.0025669234,1.05,2762.2198208900995,134.03671,2375.829423084855,0.0,1347.0,1.747239,32.3098655,1,32,0,0,0,0,0,0,0,0,0,0,,,,,121.90678469210496,7.151127830032301,POINT (121.90678469210496 7.151127830032301),1_32,False,no_barangay_or_poverty
